filename,subject_id,KCAL,PROT,FIBE,SODI,SFAT,ADD_SUGARS,F_TOTAL,V_TOTAL,G_WHOLE,food_description,reference_nutrition_category
0033c3304cdd98508a4afd6c7eaa.jpeg,SNAPME9049,249.595,13.344925,5.505,95.9175,1.5582375000000002,1.3431,0.030525,0.0,0.480075,"Cereal, granola | Flax seeds | Pumpkin seeds, unsalted | Yogurt, Greek, nonfat milk, plain",mixed
0085e4f14ecaa1f681a2c675afb0.jpeg,SNAPME9187,146.61553500000002,8.202632,4.08025,777.6094850000001,1.17496747,0.0740037,0.0,2.0256,0.0,"Mixed salad greens, raw | Onions, cooked, from fresh, fat added in cooking, NS as to type of fat | Peppers, green, cooked, fat not added in cooking | Salad dressing, fat free, NFS | Salsa verde or salsa, green | Tomatoes, raw | Turkey or chicken sausage",mixed
00aed7f846529795993f19942c0d.jpeg,SNAPME9019,78.17999999999999,0.5526,0.33,25.86,0.79626,2.361,0.0,0.0,0.0,"Coffee creamer, liquid, flavored | Coffee, brewed",mixed
00f490ab4acebe947c28b4156fe4.jpeg,SNAPME9187,61.57,1.2314,3.144,0.0,0.01965,0.0,0.7074,0.0,0.0,"Orange, raw",mixed
0107b4694ea8be0cdc0ff675de40.jpeg,SNAPME9005,607.9971249999999,27.091570000000004,8.076887499999998,681.8594195999999,12.637086125,0.0,0.0,2.972785,0.0,"Cheese, Cheddar | Cheese, Parmesan, dry grated | Kale, cooked, from fresh, fat not added in cooking | Leek, cooked, NS as to fat added in cooking | Onions, cooked, from fresh, fat not added in cooking | Potato, baked, peel eaten | Salsa, red, commercially-prepared | Yogurt, Greek, whole milk, plain",poor
01108f3a4b0b9e000aca4a307371.jpeg,SNAPME9047,83.6325,6.733125,0.0,188.811,3.202133,0.0,0.0,0.0,0.0,"Cheese, Mozzarella, part skim",poor
014ab5cd45a8b841a834028db33f.jpeg,SNAPME9007,336.6,9.435,4.335,573.75,1.3719,0.7905,0.0,0.5865,0.0,"Macaroni or pasta salad, made with Italian dressing",mixed
016cd9a94fa1a7a9877c71224045.jpeg,SNAPME9079,445.03499999999997,22.735699999999998,10.302499999999998,1896.7775,13.863805000000001,0.0,0.0,1.24305,0.0,"Cheese, Cheddar | Chili with beans, without meat | Cilantro, raw | Sour cream",poor
0174f26e47f5a8f356b58ed83f20.jpeg,SNAPME9002,688.08,27.9136,2.928,1703.12,4.7336,0.0,0.0,0.5856,0.0,Chicken or turkey and rice with tomato-based sauce,mixed
0179330140939306611d3628bcc0.jpeg,SNAPME9132,97.75,0.7475,0.075,67.25,0.734,2.435,0.0,0.0,0.0,"Cake or cupcake, white, with icing or filling",mixed
